,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,OT,Arena,Visitor Miles,Home Miles
2180,2013-04-13,7:00p,Boston Celtics,120,Orlando Magic,88,None,Amway Center,328.7388510040184,0.0
2181,2013-04-13,8:00p,Los Angeles Clippers,91,Memphis Grizzlies,87,None,FedEx Forum,2576.8238126069714,780.3775923799758
2182,2013-04-13,8:00p,Phoenix Suns,93,Minnesota Timberwolves,105,None,Target Center,1389.0628296321163,1584.2163035723793
2183,2013-04-14,1:00p,Chicago Bulls,93,Miami Heat,105,None,AmericanAirlines Arena,1987.620283538416,0.0
2184,2013-04-14,3:30p,Indiana Pacers,80,New York Knicks,90,None,Madison Square Garden (IV),1037.1018074789702,649.6400774269464
2185,2013-04-14,3:30p,Cleveland Cavaliers,77,Philadelphia 76ers,91,None,Wells Fargo Center,577.0932128670922,194.10551601585877
2186,2013-04-14,3:30p,Brooklyn Nets,87,Toronto Raptors,93,None,Air Canada Centre,708.584520813154,0.0
2187,2013-04-14,5:00p,Portland Trail Blazers,109,Denver Nuggets,118,None,Pepsi Center,1576.7250673403603,1066.1565415377668
2188,2013-04-14,6:00p,Dallas Mavericks,107,New Orleans Hornets,89,None,New Orleans Arena,1992.6964723321487,0.0
2189,2013-04-14,7:00p,Sacramento Kings,100,Houston Rockets,121,None,Toyota Center,299.59522540975945,0.0
2190,2013-04-14,9:30p,San Antonio Spurs,86,Los Angeles Lakers,91,None,STAPLES Center,1940.63627735,0.0
2191,2013-04-15,7:00p,New York Knicks,95,Charlotte Bobcats,106,None,Time Warner Cable Arena,3938.945299600751,0.0
2192,2013-04-15,7:00p,Miami Heat,96,Cleveland Cavaliers,95,None,Quicken Loans Arena,1752.9743920334938,577.0932128670922
2193,2013-04-15,7:00p,Chicago Bulls,102,Orlando Magic,84,None,Amway Center,328.7388510040184,0.0
2194,2013-04-15,7:30p,Washington Wizards,101,Brooklyn Nets,106,None,Barclays Center,327.2672996926976,553.6881051397492
2195,2013-04-15,7:30p,Philadelphia 76ers,101,Detroit Pistons,109,None,The Palace of Auburn Hills,713.5308271759454,0.0
2196,2013-04-15,8:00p,Memphis Grizzlies,103,Dallas Mavericks,97,None,American Airlines Center,676.193332500622,1992.6964723321487
2197,2013-04-15,8:00p,Denver Nuggets,112,Milwaukee Bucks,111,None,BMO Harris Bradley Center,1469.0740702144137,2804.1218559883964
2198,2013-04-15,8:00p,Utah Jazz,96,Minnesota Timberwolves,80,None,Target Center,1584.2163035723793,0.0
2199,2013-04-15,8:00p,Sacramento Kings,95,Oklahoma City Thunder,104,None,Chesapeake Energy Arena,666.3361500189493,2389.2671987162225
2200,2013-04-15,10:00p,Houston Rockets,112,Phoenix Suns,119,None,US Airways Center,1632.896491499512,2056.8952490654897
2201,2013-04-15,10:30p,San Antonio Spurs,106,Golden State Warriors,116,None,Oracle Arena,543.5789904134948,543.5789904134948
2202,2013-04-16,8:00p,Toronto Raptors,113,Atlanta Hawks,96,None,Philips Arena,1181.8495202885229,0.0
2203,2013-04-16,10:30p,Portland Trail Blazers,77,Los Angeles Clippers,93,None,STAPLES Center,1336.943130611183,2576.8238126069714
2204,2013-04-17,8:00p,Detroit Pistons,99,Brooklyn Nets,103,None,Barclays Center,777.7726679514896,0.0
2205,2013-04-17,8:00p,Cleveland Cavaliers,98,Charlotte Bobcats,105,None,Time Warner Cable Arena,3293.7776760847737,0.0
2206,2013-04-17,8:00p,Washington Wizards,92,Chicago Bulls,95,None,United Center,1151.242713652326,1588.653336706834
2207,2013-04-17,8:00p,New Orleans Hornets,87,Dallas Mavericks,99,None,American Airlines Center,1992.6964723321487,0.0
2208,2013-04-17,8:00p,Phoenix Suns,98,Denver Nuggets,118,None,Pepsi Center,942.0879126577364,1469.0740702144137
2209,2013-04-17,8:00p,Philadelphia 76ers,105,Indiana Pacers,95,None,Bankers Life Fieldhouse,386.88589122858474,1037.1018074789702
2210,2013-04-17,8:00p,Utah Jazz,70,Memphis Grizzlies,86,None,FedEx Forum,1126.0431902958296,676.193332500622
2211,2013-04-17,8:00p,Orlando Magic,93,Miami Heat,105,None,AmericanAirlines Arena,328.7388510040184,1752.9743920334938
2212,2013-04-17,8:00p,Atlanta Hawks,92,New York Knicks,98,None,Madison Square Garden (IV),1203.673050478008,3938.945299600751
2213,2013-04-17,8:00p,Milwaukee Bucks,95,Oklahoma City Thunder,89,None,Chesapeake Energy Arena,1179.033961443289,0.0
2214,2013-04-17,8:00p,Minnesota Timberwolves,108,San Antonio Spurs,95,None,AT&T Center,1787.8246610385572,2379.2868003412996
2215,2013-04-17,8:00p,Boston Celtics,90,Toronto Raptors,114,None,Air Canada Centre,1689.0884954880812,1181.8495202885229
2216,2013-04-17,10:30p,Houston Rockets,95,Los Angeles Lakers,99,OT,STAPLES Center,576.6307756724622,0.0
2217,2013-04-17,10:30p,Golden State Warriors,99,Portland Trail Blazers,88,None,Rose Garden Arena,866.1730832332902,1331.1296127548705
2218,2013-04-17,10:30p,Los Angeles Clippers,112,Sacramento Kings,108,None,Sleep Train Arena,581.6399730428296,2151.063867247017
2219,2013-10-29,7:00p,Orlando Magic,87,Indiana Pacers,97,None,Bankers Life Fieldhouse,1650.8814196661324,0.0
2220,2013-10-29,8:00p,Chicago Bulls,95,Miami Heat,107,None,AmericanAirlines Arena,1917.211036119281,0.0
2221,2013-10-29,10:30p,Los Angeles Clippers,103,Los Angeles Lakers,116,None,STAPLES Center,581.6399730428296,0.0
2222,2013-10-30,7:00p,Brooklyn Nets,94,Cleveland Cavaliers,98,None,Quicken Loans Arena,652.46910741894,3293.7776760847737
2223,2013-10-30,7:00p,Boston Celtics,87,Toronto Raptors,93,None,Air Canada Centre,0.0,0.0
2224,2013-10-30,7:00p,Miami Heat,110,Philadelphia 76ers,114,None,Wells Fargo Center,1637.7082950648175,937.4436858678192
2225,2013-10-30,7:30p,Washington Wizards,102,Detroit Pistons,113,None,The Palace of Auburn Hills,384.4697958316088,777.7726679514896
2226,2013-10-30,7:30p,Milwaukee Bucks,83,New York Knicks,90,None,Madison Square Garden (IV),2133.052203371364,0.0
2227,2013-10-30,8:00p,Indiana Pacers,95,New Orleans Pelicans,90,None,Smoothie King Center,1148.322858894391,0.0
2228,2013-10-30,8:00p,Orlando Magic,115,Minnesota Timberwolves,120,OT,Target Center,823.0886926028779,1787.8246610385572
2229,2013-10-30,8:00p,Charlotte Bobcats,83,Houston Rockets,96,None,Toyota Center,2209.332544611583,2209.332544611583
2230,2013-10-30,8:30p,Memphis Grizzlies,94,San Antonio Spurs,101,None,AT&T Center,1012.777909564886,0.0
2231,2013-10-30,8:30p,Atlanta Hawks,109,Dallas Mavericks,118,None,American Airlines Center,2208.225407463487,0.0
2232,2013-10-30,9:00p,Oklahoma City Thunder,101,Utah Jazz,98,None,EnergySolutions Arena,1387.6319885896312,2008.2719958055402
2233,2013-10-30,10:00p,Portland Trail Blazers,91,Phoenix Suns,104,None,US Airways Center,1619.4401017765108,942.0879126577364
2234,2013-10-30,10:00p,Denver Nuggets,88,Sacramento Kings,90,None,Sleep Train Arena,1425.7291573504947,0.0
2235,2013-10-30,10:30p,Los Angeles Lakers,94,Golden State Warriors,125,None,Oracle Arena,543.5789904134948,866.1730832332902
2236,2013-10-31,8:00p,New York Knicks,81,Chicago Bulls,82,None,United Center,1148.3162681652743,1917.211036119281
2237,2013-10-31,10:30p,Golden State Warriors,115,Los Angeles Clippers,126,None,STAPLES Center,543.5789904134948,0.0
2238,2013-11-01,7:00p,Cleveland Cavaliers,84,Charlotte Bobcats,90,None,Time Warner Cable Arena,3293.7776760847737,2209.332544611583
2239,2013-11-01,7:00p,New Orleans Pelicans,90,Orlando Magic,110,None,Amway Center,858.1139460020247,2107.6806860641855
2240,2013-11-01,7:00p,Philadelphia 76ers,109,Washington Wizards,102,None,Verizon Center,194.10551601585877,636.8582387327476
2241,2013-11-01,7:30p,Toronto Raptors,95,Atlanta Hawks,102,None,Philips Arena,1181.8495202885229,1158.3484663603756
2242,2013-11-01,7:30p,Milwaukee Bucks,105,Boston Celtics,98,None,TD Garden,302.8269357799009,690.755401085842
2243,2013-11-01,8:00p,Miami Heat,100,Brooklyn Nets,101,None,Barclays Center,133.66905790186513,652.46910741894
2244,2013-11-01,8:00p,Dallas Mavericks,105,Houston Rockets,113,None,Toyota Center,364.9594048580162,0.0
2245,2013-11-01,8:00p,Detroit Pistons,108,Memphis Grizzlies,111,OT,FedEx Forum,1002.4434233535106,1012.777909564886
2246,2013-11-01,8:00p,Oklahoma City Thunder,81,Minnesota Timberwolves,100,None,Target Center,1584.2163035723793,0.0
2247,2013-11-01,9:00p,Portland Trail Blazers,113,Denver Nuggets,98,None,Pepsi Center,942.0879126577364,1425.7291573504947
2248,2013-11-01,10:00p,Utah Jazz,84,Phoenix Suns,87,None,US Airways Center,814.3082955764366,0.0
2249,2013-11-01,10:00p,Los Angeles Clippers,110,Sacramento Kings,101,None,Sleep Train Arena,581.6399730428296,0.0
2250,2013-11-01,10:30p,San Antonio Spurs,91,Los Angeles Lakers,85,None,STAPLES Center,1940.63627735,543.5789904134948
2251,2013-11-02,7:00p,Cleveland Cavaliers,74,Indiana Pacers,89,None,Bankers Life Fieldhouse,2908.677483390976,1148.322858894391
2252,2013-11-02,7:30p,Chicago Bulls,104,Philadelphia 76ers,107,None,Wells Fargo Center,1072.7534404032758,194.10551601585877
2253,2013-11-02,8:00p,Charlotte Bobcats,84,New Orleans Pelicans,105,None,Smoothie King Center,2687.867853893425,858.1139460020247
2254,2013-11-02,8:30p,Memphis Grizzlies,99,Dallas Mavericks,111,None,American Airlines Center,676.193332500622,364.9594048580162
2255,2013-11-02,8:30p,Toronto Raptors,97,Milwaukee Bucks,90,None,BMO Harris Bradley Center,1077.1100552897883,1376.9967448414625
2256,2013-11-02,9:00p,Houston Rockets,104,Utah Jazz,93,None,EnergySolutions Arena,1932.1145321848035,814.3082955764366
2257,2013-11-02,10:00p,San Antonio Spurs,105,Portland Trail Blazers,115,None,Moda Center,1331.1296127548705,1576.7250673403603
2258,2013-11-02,10:30p,Sacramento Kings,87,Golden State Warriors,98,None,Oracle Arena,110.88235509533773,543.5789904134948
2259,2013-11-03,6:00p,Boston Celtics,77,Detroit Pistons,87,None,The Palace of Auburn Hills,984.6900985889087,1002.4434233535106
2260,2013-11-03,6:00p,Washington Wizards,93,Miami Heat,103,None,AmericanAirlines Arena,1488.2742053322395,1753.609073414792
2261,2013-11-03,6:00p,Brooklyn Nets,86,Orlando Magic,107,None,Amway Center,1509.5679616098573,0.0
2262,2013-11-03,7:00p,Phoenix Suns,96,Oklahoma City Thunder,103,None,Chesapeake Energy Arena,1352.0317273275737,1117.3383427562503
2263,2013-11-03,7:30p,Minnesota Timberwolves,109,New York Knicks,100,None,Madison Square Garden (IV),1635.887221071749,1148.3162681652743
2264,2013-11-03,9:30p,Atlanta Hawks,103,Los Angeles Lakers,105,None,STAPLES Center,3111.7284542327766,0.0
2265,2013-11-04,7:00p,Minnesota Timberwolves,92,Cleveland Cavaliers,93,None,Quicken Loans Arena,649.6400774269464,423.3599045954914
2266,2013-11-04,7:00p,Golden State Warriors,110,Philadelphia 76ers,90,None,Wells Fargo Center,4033.8636556675856,0.0
2267,2013-11-04,8:00p,Boston Celtics,88,Memphis Grizzlies,95,None,FedEx Forum,1002.4434233535106,676.193332500622
2268,2013-11-04,10:30p,Houston Rockets,118,Los Angeles Clippers,137,None,STAPLES Center,935.0094062976216,581.6399730428296
2269,2013-11-05,7:00p,Miami Heat,104,Toronto Raptors,95,None,Air Canada Centre,1987.620283538416,693.3225759628674
2270,2013-11-05,7:30p,Utah Jazz,88,Brooklyn Nets,104,None,Barclays Center,3170.5647611568997,1509.5679616098573
2271,2013-11-05,7:30p,Indiana Pacers,99,Detroit Pistons,91,None,The Palace of Auburn Hills,386.88589122858474,0.0
2272,2013-11-05,7:30p,Charlotte Bobcats,102,New York Knicks,97,None,Madison Square Garden (IV),1884.499548186097,0.0
2273,2013-11-05,8:00p,Phoenix Suns,104,New Orleans Pelicans,98,None,Smoothie King Center,926.5927758337733,0.0
2274,2013-11-05,8:30p,Los Angeles Lakers,104,Dallas Mavericks,123,None,American Airlines Center,1992.6964723321487,0.0
2275,2013-11-05,9:00p,San Antonio Spurs,102,Denver Nuggets,94,None,Pepsi Center,1576.7250673403603,0.0
2276,2013-11-05,10:00p,Houston Rockets,116,Portland Trail Blazers,101,None,Moda Center,1331.1296127548705,0.0
2277,2013-11-05,10:00p,Atlanta Hawks,105,Sacramento Kings,100,None,Sleep Train Arena,581.6399730428296,110.88235509533773
2278,2013-11-06,7:00p,Toronto Raptors,90,Charlotte Bobcats,92,None,Time Warner Cable Arena,3497.010182085338,3938.945299600751
2279,2013-11-06,7:00p,Chicago Bulls,80,Indiana Pacers,97,None,Bankers Life Fieldhouse,937.4436858678192,386.88589122858474
2280,2013-11-06,7:00p,Los Angeles Clippers,90,Orlando Magic,98,None,Amway Center,3538.2939269911685,0.0
2281,2013-11-06,7:00p,Washington Wizards,116,Philadelphia 76ers,102,None,Wells Fargo Center,1637.7082950648175,0.0
2282,2013-11-06,7:30p,Utah Jazz,87,Boston Celtics,97,None,TD Garden,306.2838054453734,1825.8050140470373
2283,2013-11-06,8:00p,New Orleans Pelicans,99,Memphis Grizzlies,84,None,FedEx Forum,578.998800034611,0.0
2284,2013-11-06,8:00p,Cleveland Cavaliers,104,Milwaukee Bucks,109,None,BMO Harris Bradley Center,540.5014740287551,0.0
2285,2013-11-06,8:00p,Golden State Warriors,106,Minnesota Timberwolves,93,None,Target Center,1585.0890882469673,1014.2755611622656
2286,2013-11-06,8:30p,Phoenix Suns,96,San Antonio Spurs,99,None,AT&T Center,809.0843167551981,1294.8168856423379
2287,2013-11-06,9:30p,Dallas Mavericks,93,Oklahoma City Thunder,107,None,Chesapeake Energy Arena,304.1139649104341,0.0
2288,2013-11-07,7:00p,Los Angeles Clippers,97,Miami Heat,102,None,AmericanAirlines Arena,328.7388510040184,1987.620283538416
2289,2013-11-07,9:00p,Atlanta Hawks,107,Denver Nuggets,109,None,Pepsi Center,1425.7291573504947,0.0
2290,2013-11-07,9:30p,Los Angeles Lakers,99,Houston Rockets,98,None,Toyota Center,364.9594048580162,2952.2415844494203
2291,2013-11-08,7:00p,New York Knicks,101,Charlotte Bobcats,91,None,Time Warner Cable Arena,3938.945299600751,0.0
2292,2013-11-08,7:00p,Toronto Raptors,84,Indiana Pacers,91,None,Bankers Life Fieldhouse,2908.677483390976,0.0
2293,2013-11-08,7:00p,Boston Celtics,91,Orlando Magic,89,None,Amway Center,1796.244800871218,0.0
2294,2013-11-08,7:00p,Cleveland Cavaliers,79,Philadelphia 76ers,94,None,Wells Fargo Center,1116.5784765140054,0.0
2295,2013-11-08,7:00p,Brooklyn Nets,108,Washington Wizards,112,OT,Verizon Center,327.2672996926976,194.10551601585877
2296,2013-11-08,7:30p,Oklahoma City Thunder,119,Detroit Pistons,110,None,The Palace of Auburn Hills,1463.4838993450999,0.0
2297,2013-11-08,8:00p,Utah Jazz,73,Chicago Bulls,97,None,United Center,1369.0103115617567,267.850235260918
2298,2013-11-08,8:00p,Dallas Mavericks,108,Minnesota Timberwolves,116,None,Target Center,1117.3383427562503,0.0
2299,2013-11-08,8:00p,Los Angeles Lakers,85,New Orleans Pelicans,96,None,Smoothie King Center,509.64888007288965,578.998800034611
2300,2013-11-08,8:30p,Golden State Warriors,74,San Antonio Spurs,76,None,AT&T Center,1787.8246610385572,0.0
2301,2013-11-08,9:00p,Denver Nuggets,103,Phoenix Suns,114,None,US Airways Center,942.0879126577364,1367.119384508158
2302,2013-11-08,10:00p,Sacramento Kings,91,Portland Trail Blazers,104,None,Moda Center,778.9831019202021,0.0
2303,2013-11-09,7:00p,Utah Jazz,91,Toronto Raptors,115,None,Air Canada Centre,704.7038435348661,708.584520813154
2304,2013-11-09,7:30p,Orlando Magic,94,Atlanta Hawks,104,None,Philips Arena,647.0588780891295,1948.028275838084
2305,2013-11-09,7:30p,Indiana Pacers,96,Brooklyn Nets,91,None,Barclays Center,1038.3680930945834,327.2672996926976
2306,2013-11-09,7:30p,Philadelphia 76ers,125,Cleveland Cavaliers,127,2OT,Quicken Loans Arena,577.0932128670922,577.0932128670922
2307,2013-11-09,7:30p,Boston Celtics,111,Miami Heat,110,None,AmericanAirlines Arena,328.7388510040184,0.0
2308,2013-11-09,8:00p,Los Angeles Clippers,107,Houston Rockets,94,None,Toyota Center,1555.5458172282524,0.0
2309,2013-11-09,8:00p,Golden State Warriors,90,Memphis Grizzlies,108,None,FedEx Forum,1012.777909564886,0.0
2310,2013-11-09,8:30p,Dallas Mavericks,91,Milwaukee Bucks,83,None,BMO Harris Bradley Center,479.40292058392754,0.0
2311,2013-11-09,10:00p,Portland Trail Blazers,96,Sacramento Kings,85,None,Sleep Train Arena,778.9831019202021,778.9831019202021
2312,2013-11-10,12:00p,San Antonio Spurs,120,New York Knicks,89,None,Madison Square Garden (IV),2543.0792395433327,3938.945299600751
2313,2013-11-10,7:00p,Washington Wizards,105,Oklahoma City Thunder,106,OT,Chesapeake Energy Arena,1851.1524666173534,1463.4838993450999
2314,2013-11-10,8:00p,New Orleans Pelicans,94,Phoenix Suns,101,None,US Airways Center,2112.1901485645976,0.0
2315,2013-11-10,9:30p,Minnesota Timberwolves,113,Los Angeles Lakers,90,None,STAPLES Center,2450.094606106478,2687.867853893425
2316,2013-11-11,7:00p,Atlanta Hawks,103,Charlotte Bobcats,94,None,Time Warner Cable Arena,3111.7284542327766,0.0
2317,2013-11-11,7:00p,Memphis Grizzlies,79,Indiana Pacers,95,None,Bankers Life Fieldhouse,616.9263006801868,1038.3680930945834
2318,2013-11-11,7:00p,San Antonio Spurs,109,Philadelphia 76ers,85,None,Wells Fargo Center,137.55645005419467,577.0932128670922
2319,2013-11-11,7:30p,Orlando Magic,105,Boston Celtics,120,None,TD Garden,1506.4940289879444,2023.6341857400523
2320,2013-11-11,8:00p,Cleveland Cavaliers,81,Chicago Bulls,96,None,United Center,498.8674349614804,0.0
2321,2013-11-11,8:00p,Toronto Raptors,104,Houston Rockets,110,2OT,Toyota Center,2094.212954130142,0.0
2322,2013-11-11,9:00p,Denver Nuggets,100,Utah Jazz,81,None,EnergySolutions Arena,814.3082955764366,2680.3797195317893
2323,2013-11-11,10:00p,Detroit Pistons,103,Portland Trail Blazers,109,None,Moda Center,3159.172259425165,778.9831019202021
2324,2013-11-11,10:30p,Minnesota Timberwolves,107,Los Angeles Clippers,109,None,STAPLES Center,0.0,2209.332544611583
2325,2013-11-12,7:30p,Milwaukee Bucks,95,Miami Heat,118,None,AmericanAirlines Arena,2044.1397744677774,0.0
2326,2013-11-12,8:30p,Washington Wizards,95,Dallas Mavericks,105,None,American Airlines Center,304.1139649104341,1379.6895051540373
2327,2013-11-12,10:30p,Detroit Pistons,95,Golden State Warriors,113,None,Oracle Arena,866.1730832332902,2875.8281010369788
2328,2013-11-12,10:30p,New Orleans Pelicans,95,Los Angeles Lakers,116,None,STAPLES Center,576.6307756724622,0.0
2329,2013-11-13,7:00p,Milwaukee Bucks,91,Orlando Magic,94,None,Amway Center,328.7388510040184,1796.244800871218
2330,2013-11-13,7:00p,Houston Rockets,117,Philadelphia 76ers,123,OT,Wells Fargo Center,2153.31511988212,0.0
2331,2013-11-13,7:30p,Charlotte Bobcats,89,Boston Celtics,83,None,TD Garden,4171.692997477158,0.0
2332,2013-11-13,8:00p,New York Knicks,95,Atlanta Hawks,91,None,Philips Arena,1203.673050478008,3111.7284542327766
2333,2013-11-13,8:00p,Toronto Raptors,103,Memphis Grizzlies,87,None,FedEx Forum,780.3775923799758,616.9263006801868
2334,2013-11-13,8:00p,Cleveland Cavaliers,95,Minnesota Timberwolves,124,None,Target Center,568.3704801146415,2450.094606106478
2335,2013-11-13,8:30p,Washington Wizards,79,San Antonio Spurs,92,None,AT&T Center,404.88038844274155,2415.1799533891726
2336,2013-11-13,9:00p,Los Angeles Lakers,99,Denver Nuggets,111,None,Pepsi Center,1336.943130611183,595.6237847192574
2337,2013-11-13,9:00p,New Orleans Pelicans,105,Utah Jazz,111,None,EnergySolutions Arena,935.0094062976216,0.0
2338,2013-11-13,10:00p,Phoenix Suns,89,Portland Trail Blazers,90,None,Moda Center,1619.4401017765108,0.0
2339,2013-11-13,10:00p,Brooklyn Nets,86,Sacramento Kings,107,None,Sleep Train Arena,4026.7575161031787,0.0
2340,2013-11-13,10:30p,Oklahoma City Thunder,103,Los Angeles Clippers,111,None,STAPLES Center,1898.956851820289,0.0
2341,2013-11-14,8:00p,Houston Rockets,109,New York Knicks,106,None,Madison Square Garden (IV),137.55645005419467,1203.673050478008
2342,2013-11-14,10:30p,Oklahoma City Thunder,115,Golden State Warriors,116,None,Oracle Arena,543.5789904134948,0.0
2343,2013-11-15,7:00p,Milwaukee Bucks,77,Indiana Pacers,104,None,Bankers Life Fieldhouse,1322.5847620149084,0.0
2344,2013-11-15,7:00p,Chicago Bulls,96,Toronto Raptors,80,None,Air Canada Centre,704.7038435348661,1313.8394503783445
2345,2013-11-15,7:30p,Philadelphia 76ers,103,Atlanta Hawks,113,None,Philips Arena,1066.990607895707,0.0
2346,2013-11-15,7:30p,Portland Trail Blazers,109,Boston Celtics,96,None,TD Garden,4074.690189340699,0.0
2347,2013-11-15,7:30p,Charlotte Bobcats,86,Cleveland Cavaliers,80,None,Quicken Loans Arena,883.7191492259007,1014.2755611622656
2348,2013-11-15,7:30p,Dallas Mavericks,104,Miami Heat,110,None,AmericanAirlines Arena,1787.708530065366,0.0
2349,2013-11-15,8:00p,Minnesota Timberwolves,113,Denver Nuggets,117,None,Pepsi Center,1124.1340136907127,0.0
2350,2013-11-15,9:00p,Brooklyn Nets,100,Phoenix Suns,98,OT,US Airways Center,1021.4353551481838,1619.4401017765108
2351,2013-11-15,9:00p,San Antonio Spurs,91,Utah Jazz,82,None,EnergySolutions Arena,1753.8493780871931,0.0
2352,2013-11-15,10:30p,Memphis Grizzlies,89,Los Angeles Lakers,86,None,STAPLES Center,2576.8238126069714,1336.943130611183
2353,2013-11-15,10:30p,Detroit Pistons,97,Sacramento Kings,90,None,Sleep Train Arena,110.88235509533773,0.0
2354,2013-11-16,7:00p,Miami Heat,97,Charlotte Bobcats,81,None,Time Warner Cable Arena,3760.4346112852186,3293.7776760847737
2355,2013-11-16,7:00p,Dallas Mavericks,108,Orlando Magic,100,None,Amway Center,328.7388510040184,0.0
2356,2013-11-16,7:00p,Cleveland Cavaliers,103,Washington Wizards,96,OT,Verizon Center,490.4262711934011,2226.3410287181
2357,2013-11-16,7:30p,Atlanta Hawks,110,New York Knicks,90,None,Madison Square Garden (IV),1203.673050478008,0.0
2358,2013-11-16,8:00p,Indiana Pacers,94,Chicago Bulls,110,None,United Center,267.850235260918,704.7038435348661
2359,2013-11-16,8:00p,Denver Nuggets,111,Houston Rockets,122,None,Toyota Center,1416.7501824015203,2284.2191273374187
2360,2013-11-16,8:00p,Boston Celtics,88,Minnesota Timberwolves,106,None,Target Center,1804.207765984289,1124.1340136907127
2361,2013-11-16,8:00p,Philadelphia 76ers,98,New Orleans Pelicans,135,None,Smoothie King Center,683.6738489553459,2305.868732364559
2362,2013-11-16,8:30p,Oklahoma City Thunder,92,Milwaukee Bucks,79,None,BMO Harris Bradley Center,2941.1086929526373,393.2587038566132
2363,2013-11-16,10:30p,Utah Jazz,88,Golden State Warriors,102,None,Oracle Arena,947.6013765576201,0.0
2364,2013-11-16,10:30p,Brooklyn Nets,103,Los Angeles Clippers,110,None,STAPLES Center,576.6307756724622,0.0
2365,2013-11-17,1:00p,Portland Trail Blazers,118,Toronto Raptors,110,OT,Air Canada Centre,690.755401085842,0.0
2366,2013-11-17,6:00p,Memphis Grizzlies,97,Sacramento Kings,86,None,Sleep Train Arena,581.6399730428296,0.0
2367,2013-11-17,9:30p,Detroit Pistons,99,Los Angeles Lakers,114,None,STAPLES Center,581.6399730428296,0.0
2368,2013-11-18,7:30p,Portland Trail Blazers,108,Brooklyn Nets,98,None,Barclays Center,553.6881051397492,3940.946221016643
2369,2013-11-18,8:00p,Charlotte Bobcats,81,Chicago Bulls,86,None,United Center,2802.687566401789,0.0
2370,2013-11-18,8:00p,Denver Nuggets,113,Oklahoma City Thunder,115,None,Chesapeake Energy Arena,666.3361500189493,1179.033961443289
2371,2013-11-18,8:30p,Philadelphia 76ers,94,Dallas Mavericks,97,None,American Airlines Center,712.4456363798192,1547.5630092294198
2372,2013-11-18,9:00p,Golden State Warriors,98,Utah Jazz,87,None,EnergySolutions Arena,947.6013765576201,947.6013765576201
2373,2013-11-18,10:30p,Memphis Grizzlies,106,Los Angeles Clippers,102,None,STAPLES Center,581.6399730428296,0.0
2374,2013-11-19,7:00p,Minnesota Timberwolves,100,Washington Wizards,104,None,Verizon Center,1501.2675310832583,0.0
2375,2013-11-19,7:30p,New York Knicks,86,Detroit Pistons,92,None,The Palace of Auburn Hills,774.1786166735133,3187.0856592638156
2376,2013-11-19,7:30p,Atlanta Hawks,88,Miami Heat,104,None,AmericanAirlines Arena,1760.1289875089205,3760.4346112852186
2377,2013-11-19,8:00p,Boston Celtics,85,Houston Rockets,109,None,Toyota Center,1703.2301644142744,0.0
2378,2013-11-19,10:00p,Phoenix Suns,104,Sacramento Kings,107,None,Sleep Train Arena,1021.4353551481838,0.0
2379,2013-11-20,7:00p,Brooklyn Nets,91,Charlotte Bobcats,95,None,Time Warner Cable Arena,3940.946221016643,2802.687566401789
2380,2013-11-20,7:00p,Washington Wizards,98,Cleveland Cavaliers,91,None,Quicken Loans Arena,490.4262711934011,490.4262711934011
2381,2013-11-20,7:00p,Indiana Pacers,103,New York Knicks,96,OT,Madison Square Garden (IV),1148.3162681652743,774.1786166735133
2382,2013-11-20,7:00p,Miami Heat,120,Orlando Magic,92,None,Amway Center,328.7388510040184,0.0
2383,2013-11-20,7:00p,Toronto Raptors,108,Philadelphia 76ers,98,None,Wells Fargo Center,542.928552256814,2086.1959799241276
2384,2013-11-20,7:30p,Detroit Pistons,85,Atlanta Hawks,93,None,Philips Arena,961.6547109578556,975.2296382266566
2385,2013-11-20,8:00p,Portland Trail Blazers,91,Milwaukee Bucks,82,None,BMO Harris Bradley Center,1182.525606821378,0.0
2386,2013-11-20,8:00p,Los Angeles Clippers,102,Minnesota Timberwolves,98,None,Target Center,2450.094606106478,1501.2675310832583
2387,2013-11-20,8:00p,Utah Jazz,98,New Orleans Pelicans,105,None,Smoothie King Center,2305.868732364559,0.0
2388,2013-11-20,8:30p,Boston Celtics,93,San Antonio Spurs,104,None,AT&T Center,299.59522540975945,1753.8493780871931
2389,2013-11-20,9:00p,Sacramento Kings,113,Phoenix Suns,106,None,US Airways Center,1021.4353551481838,1021.4353551481838
2390,2013-11-20,9:30p,Houston Rockets,120,Dallas Mavericks,123,None,American Airlines Center,364.9594048580162,0.0
2391,2013-11-20,10:30p,Memphis Grizzlies,88,Golden State Warriors,81,OT,Oracle Arena,543.5789904134948,947.6013765576201
2392,2013-11-21,8:00p,Los Angeles Clippers,91,Oklahoma City Thunder,105,None,Chesapeake Energy Arena,1117.3383427562503,0.0
2393,2013-11-21,10:30p,Chicago Bulls,87,Denver Nuggets,97,None,Pepsi Center,1475.1714092261032,813.6492688197383
2394,2013-11-22,7:00p,Phoenix Suns,98,Charlotte Bobcats,91,None,Time Warner Cable Arena,576.6307756724622,0.0
2395,2013-11-22,7:00p,Milwaukee Bucks,107,Philadelphia 76ers,115,OT,Wells Fargo Center,1116.5784765140054,0.0
2396,2013-11-22,7:00p,Washington Wizards,88,Toronto Raptors,96,None,Air Canada Centre,304.51526234563045,542.928552256814
