,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,OT,Arena,Year,Latitude,Longitude
1089,2012-11-12,9:00p,Denver Nuggets,100,Phoenix Suns,110,None,US Airways Center,2013,33.446° N,112.071° W
1090,2012-11-12,10:00p,Atlanta Hawks,95,Portland Trail Blazers,87,None,Rose Garden Arena,2013,45.532° N,122.667° W
1091,2012-11-13,7:00p,Washington Wizards,76,Charlotte Bobcats,92,None,Time Warner Cable Arena,2013,34.043° N,118.267° W
1092,2012-11-13,7:00p,Toronto Raptors,74,Indiana Pacers,72,None,Bankers Life Fieldhouse,2013,39.764° N,86.156° W
1093,2012-11-13,7:00p,New York Knicks,99,Orlando Magic,89,None,Amway Center,2013,28.539° N,81.384° W
1094,2012-11-13,7:30p,Cleveland Cavaliers,101,Brooklyn Nets,114,None,Barclays Center,2013,40.683° N,73.975° W
1095,2012-11-13,10:00p,Portland Trail Blazers,103,Sacramento Kings,86,None,Sleep Train Arena,2013,38.58° N,121.5° W
1096,2012-11-13,10:30p,San Antonio Spurs,84,Los Angeles Lakers,82,None,STAPLES Center,2013,34.043° N,118.267° W
1097,2012-11-14,7:00p,Detroit Pistons,94,Philadelphia 76ers,76,None,Wells Fargo Center,2013,39.901° N,75.172° W
1098,2012-11-14,7:30p,Utah Jazz,93,Boston Celtics,98,None,TD Garden,2013,42.366° N,71.062° W
1099,2012-11-14,8:00p,New Orleans Hornets,96,Houston Rockets,100,None,Toyota Center,2013,29.751° N,95.362° W
1100,2012-11-14,8:00p,Indiana Pacers,85,Milwaukee Bucks,99,None,BMO Harris Bradley Center,2013,43.045° N,87.917° W
1101,2012-11-14,8:00p,Charlotte Bobcats,89,Minnesota Timberwolves,87,None,Target Center,2013,44.98° N,93.276° W
1102,2012-11-14,8:00p,Memphis Grizzlies,107,Oklahoma City Thunder,97,None,Chesapeake Energy Arena,2013,35.463° N,97.515° W
1103,2012-11-14,8:30p,Washington Wizards,101,Dallas Mavericks,107,None,American Airlines Center,2013,32.791° N,96.81° W
1104,2012-11-14,9:00p,Chicago Bulls,112,Phoenix Suns,106,OT,US Airways Center,2013,33.446° N,112.071° W
1105,2012-11-14,10:30p,Atlanta Hawks,88,Golden State Warriors,92,None,Oracle Arena,2013,37.75° N,122.203° W
1106,2012-11-14,10:30p,Miami Heat,100,Los Angeles Clippers,107,None,STAPLES Center,2013,34.043° N,118.267° W
1107,2012-11-15,8:00p,Boston Celtics,97,Brooklyn Nets,102,None,Barclays Center,2013,40.683° N,73.975° W
1108,2012-11-15,8:30p,New York Knicks,104,San Antonio Spurs,100,None,AT&T Center,2013,29.427° N,98.438° W
1109,2012-11-15,10:30p,Miami Heat,98,Denver Nuggets,93,None,Pepsi Center,2013,39.749° N,105.008° W
1110,2012-11-16,7:00p,Dallas Mavericks,83,Indiana Pacers,103,None,Bankers Life Fieldhouse,2013,39.764° N,86.156° W
1111,2012-11-16,7:00p,Utah Jazz,93,Philadelphia 76ers,99,None,Wells Fargo Center,2013,39.901° N,75.172° W
1112,2012-11-16,7:30p,Orlando Magic,110,Detroit Pistons,106,None,The Palace of Auburn Hills,2013,42.341° N,83.055° W
1113,2012-11-16,8:00p,Golden State Warriors,106,Minnesota Timberwolves,98,None,Target Center,2013,44.98° N,93.276° W
1114,2012-11-16,8:00p,Oklahoma City Thunder,110,New Orleans Hornets,95,None,New Orleans Arena,2013,34.043° N,118.267° W
1115,2012-11-16,9:30p,New York Knicks,95,Memphis Grizzlies,105,None,FedEx Forum,2013,35.156° N,90.052° W
1116,2012-11-16,10:00p,Houston Rockets,117,Portland Trail Blazers,119,OT,Rose Garden Arena,2013,45.532° N,122.667° W
1117,2012-11-16,10:00p,Atlanta Hawks,112,Sacramento Kings,96,None,Sleep Train Arena,2013,38.58° N,121.5° W
1118,2012-11-16,10:30p,Phoenix Suns,102,Los Angeles Lakers,114,None,STAPLES Center,2013,34.043° N,118.267° W
1119,2012-11-17,12:30p,Toronto Raptors,89,Boston Celtics,107,None,TD Garden,2013,42.366° N,71.062° W
1120,2012-11-17,7:00p,Utah Jazz,83,Washington Wizards,76,None,Verizon Center,2013,38.898° N,77.021° W
1121,2012-11-17,7:30p,Memphis Grizzlies,94,Charlotte Bobcats,87,None,Time Warner Cable Arena,2013,34.043° N,118.267° W
1122,2012-11-17,7:30p,Dallas Mavericks,103,Cleveland Cavaliers,95,None,Quicken Loans Arena,2013,41.497° N,81.688° W
1123,2012-11-17,8:30p,New Orleans Hornets,113,Milwaukee Bucks,117,None,BMO Harris Bradley Center,2013,43.045° N,87.917° W
1124,2012-11-17,8:30p,Denver Nuggets,100,San Antonio Spurs,126,None,AT&T Center,2013,29.427° N,98.438° W
1125,2012-11-17,9:00p,Chicago Bulls,80,Los Angeles Clippers,101,None,STAPLES Center,2013,34.043° N,118.267° W
1126,2012-11-17,9:00p,Miami Heat,97,Phoenix Suns,88,None,US Airways Center,2013,33.446° N,112.071° W
1127,2012-11-18,12:00p,Indiana Pacers,76,New York Knicks,88,None,Madison Square Garden (IV),2013,40.751° N,73.993° W
1128,2012-11-18,1:00p,Orlando Magic,86,Toronto Raptors,97,None,Air Canada Centre,2013,43.644° N,79.379° W
1129,2012-11-18,6:00p,Cleveland Cavaliers,79,Philadelphia 76ers,86,None,Wells Fargo Center,2013,39.901° N,75.172° W
1130,2012-11-18,6:00p,Brooklyn Nets,99,Sacramento Kings,90,None,Sleep Train Arena,2013,38.58° N,121.5° W
1131,2012-11-18,7:00p,Golden State Warriors,109,Oklahoma City Thunder,119,None,Chesapeake Energy Arena,2013,35.463° N,97.515° W
1132,2012-11-18,7:30p,Boston Celtics,83,Detroit Pistons,103,None,The Palace of Auburn Hills,2013,42.341° N,83.055° W
1133,2012-11-18,9:00p,Chicago Bulls,94,Portland Trail Blazers,102,None,Rose Garden Arena,2013,45.532° N,122.667° W
1134,2012-11-18,9:30p,Houston Rockets,108,Los Angeles Lakers,119,None,STAPLES Center,2013,34.043° N,118.267° W
1135,2012-11-19,7:00p,Milwaukee Bucks,98,Charlotte Bobcats,102,None,Time Warner Cable Arena,2013,34.043° N,118.267° W
1136,2012-11-19,7:00p,Indiana Pacers,96,Washington Wizards,89,None,Verizon Center,2013,38.898° N,77.021° W
1137,2012-11-19,7:30p,Orlando Magic,72,Atlanta Hawks,81,None,Philips Arena,2013,33.757° N,84.396° W
1138,2012-11-19,8:00p,Denver Nuggets,97,Memphis Grizzlies,92,None,FedEx Forum,2013,35.156° N,90.052° W
1139,2012-11-19,8:30p,Golden State Warriors,105,Dallas Mavericks,101,OT,American Airlines Center,2013,32.791° N,96.81° W
1140,2012-11-19,8:30p,Los Angeles Clippers,92,San Antonio Spurs,87,None,AT&T Center,2013,29.427° N,98.438° W
1141,2012-11-19,9:00p,Houston Rockets,91,Utah Jazz,102,None,EnergySolutions Arena,2013,40.768° N,111.901° W
1142,2012-11-20,7:00p,Toronto Raptors,98,Philadelphia 76ers,106,None,Wells Fargo Center,2013,39.901° N,75.172° W
1143,2012-11-20,8:00p,New York Knicks,102,New Orleans Hornets,80,None,New Orleans Arena,2013,34.043° N,118.267° W
1144,2012-11-20,10:30p,Brooklyn Nets,90,Los Angeles Lakers,95,None,STAPLES Center,2013,34.043° N,118.267° W
1145,2012-11-21,7:00p,Toronto Raptors,97,Charlotte Bobcats,98,None,Time Warner Cable Arena,2013,34.043° N,118.267° W
1146,2012-11-21,7:00p,Philadelphia 76ers,83,Cleveland Cavaliers,92,None,Quicken Loans Arena,2013,41.497° N,81.688° W
1147,2012-11-21,7:00p,New Orleans Hornets,107,Indiana Pacers,115,OT,Bankers Life Fieldhouse,2013,39.764° N,86.156° W
1148,2012-11-21,7:00p,Detroit Pistons,74,Orlando Magic,90,None,Amway Center,2013,28.539° N,81.384° W
1149,2012-11-21,7:30p,Washington Wizards,100,Atlanta Hawks,101,OT,Philips Arena,2013,33.757° N,84.396° W
1150,2012-11-21,7:30p,San Antonio Spurs,112,Boston Celtics,100,None,TD Garden,2013,42.366° N,71.062° W
1151,2012-11-21,7:30p,Milwaukee Bucks,106,Miami Heat,113,OT,AmericanAirlines Arena,2013,25.781° N,80.187° W
1152,2012-11-21,7:30p,Los Angeles Clippers,111,Oklahoma City Thunder,117,OT,Chesapeake Energy Arena,2013,35.463° N,97.515° W
1153,2012-11-21,8:00p,Chicago Bulls,89,Houston Rockets,93,None,Toyota Center,2013,29.751° N,95.362° W
1154,2012-11-21,8:00p,Denver Nuggets,101,Minnesota Timberwolves,94,None,Target Center,2013,44.98° N,93.276° W
1155,2012-11-21,8:30p,New York Knicks,111,Dallas Mavericks,114,None,American Airlines Center,2013,32.791° N,96.81° W
1156,2012-11-21,9:00p,Portland Trail Blazers,87,Phoenix Suns,114,None,US Airways Center,2013,33.446° N,112.071° W
1157,2012-11-21,10:00p,Los Angeles Lakers,97,Sacramento Kings,113,None,Sleep Train Arena,2013,38.58° N,121.5° W
1158,2012-11-21,10:30p,Brooklyn Nets,93,Golden State Warriors,102,None,Oracle Arena,2013,37.75° N,122.203° W
1159,2012-11-23,7:00p,Atlanta Hawks,101,Charlotte Bobcats,91,None,Time Warner Cable Arena,2013,34.043° N,118.267° W
1160,2012-11-23,7:00p,Cleveland Cavaliers,104,Orlando Magic,108,None,Amway Center,2013,28.539° N,81.384° W
1161,2012-11-23,7:30p,Oklahoma City Thunder,100,Boston Celtics,108,None,TD Garden,2013,42.366° N,71.062° W
1162,2012-11-23,7:30p,Los Angeles Clippers,76,Brooklyn Nets,86,None,Barclays Center,2013,40.683° N,73.975° W
1163,2012-11-23,7:30p,Toronto Raptors,90,Detroit Pistons,91,None,The Palace of Auburn Hills,2013,42.341° N,83.055° W
1164,2012-11-23,8:00p,New York Knicks,103,Houston Rockets,131,None,Toyota Center,2013,29.751° N,95.362° W
1165,2012-11-23,8:00p,San Antonio Spurs,104,Indiana Pacers,97,None,Bankers Life Fieldhouse,2013,39.764° N,86.156° W
1166,2012-11-23,8:00p,Los Angeles Lakers,98,Memphis Grizzlies,106,None,FedEx Forum,2013,35.156° N,90.052° W
1167,2012-11-23,9:00p,Golden State Warriors,91,Denver Nuggets,102,None,Pepsi Center,2013,39.749° N,105.008° W
1168,2012-11-23,9:00p,New Orleans Hornets,108,Phoenix Suns,111,OT,US Airways Center,2013,33.446° N,112.071° W
1169,2012-11-23,9:00p,Sacramento Kings,102,Utah Jazz,104,None,EnergySolutions Arena,2013,40.768° N,111.901° W
1170,2012-11-23,10:00p,Minnesota Timberwolves,95,Portland Trail Blazers,103,None,Rose Garden Arena,2013,45.532° N,122.667° W
1171,2012-11-24,7:00p,Los Angeles Clippers,93,Atlanta Hawks,104,None,Philips Arena,2013,33.757° N,84.396° W
1172,2012-11-24,7:00p,Oklahoma City Thunder,116,Philadelphia 76ers,109,OT,Wells Fargo Center,2013,39.901° N,75.172° W
1173,2012-11-24,7:00p,Charlotte Bobcats,108,Washington Wizards,106,2OT,Verizon Center,2013,38.898° N,77.021° W
1174,2012-11-24,7:30p,Cleveland Cavaliers,108,Miami Heat,110,None,AmericanAirlines Arena,2013,25.781° N,80.187° W
1175,2012-11-24,8:30p,Los Angeles Lakers,115,Dallas Mavericks,89,None,American Airlines Center,2013,32.791° N,96.81° W
1176,2012-11-24,9:00p,Chicago Bulls,93,Milwaukee Bucks,86,None,BMO Harris Bradley Center,2013,43.045° N,87.917° W
1177,2012-11-24,10:00p,Utah Jazz,97,Sacramento Kings,108,None,Sleep Train Arena,2013,38.58° N,121.5° W
1178,2012-11-24,10:30p,Minnesota Timberwolves,85,Golden State Warriors,96,None,Oracle Arena,2013,37.75° N,122.203° W
1179,2012-11-25,1:00p,Detroit Pistons,100,New York Knicks,121,None,Madison Square Garden (IV),2013,40.751° N,73.993° W
1180,2012-11-25,1:00p,San Antonio Spurs,111,Toronto Raptors,106,2OT,Air Canada Centre,2013,43.644° N,79.379° W
1181,2012-11-25,3:00p,Portland Trail Blazers,85,Brooklyn Nets,98,None,Barclays Center,2013,40.683° N,73.975° W
1182,2012-11-25,6:00p,Boston Celtics,116,Orlando Magic,110,OT,Amway Center,2013,28.539° N,81.384° W
1183,2012-11-25,6:00p,Phoenix Suns,101,Philadelphia 76ers,104,None,Wells Fargo Center,2013,39.901° N,75.172° W
1184,2012-11-25,8:00p,New Orleans Hornets,84,Denver Nuggets,102,None,Pepsi Center,2013,39.749° N,105.008° W
1185,2012-11-26,7:00p,New York Knicks,89,Brooklyn Nets,96,OT,Barclays Center,2013,40.683° N,73.975° W
1186,2012-11-26,7:00p,San Antonio Spurs,118,Washington Wizards,92,None,Verizon Center,2013,38.898° N,77.021° W
1187,2012-11-26,7:30p,Portland Trail Blazers,101,Detroit Pistons,108,None,The Palace of Auburn Hills,2013,42.341° N,83.055° W
1188,2012-11-26,8:00p,Milwaukee Bucks,93,Chicago Bulls,92,None,United Center,2013,41.881° N,87.675° W
1189,2012-11-26,8:00p,Cleveland Cavaliers,78,Memphis Grizzlies,84,None,FedEx Forum,2013,35.156° N,90.052° W
1190,2012-11-26,8:00p,Charlotte Bobcats,69,Oklahoma City Thunder,114,None,Chesapeake Energy Arena,2013,35.463° N,97.515° W
1191,2012-11-26,9:00p,Denver Nuggets,103,Utah Jazz,105,None,EnergySolutions Arena,2013,40.768° N,111.901° W
1192,2012-11-26,10:30p,New Orleans Hornets,105,Los Angeles Clippers,98,None,STAPLES Center,2013,34.043° N,118.267° W
1193,2012-11-27,7:00p,Phoenix Suns,91,Cleveland Cavaliers,78,None,Quicken Loans Arena,2013,41.497° N,81.688° W
1194,2012-11-27,7:00p,Dallas Mavericks,98,Philadelphia 76ers,100,None,Wells Fargo Center,2013,39.901° N,75.172° W
1195,2012-11-27,8:00p,Toronto Raptors,101,Houston Rockets,117,None,Toyota Center,2013,29.751° N,95.362° W
1196,2012-11-27,10:00p,Minnesota Timberwolves,97,Sacramento Kings,89,None,Sleep Train Arena,2013,38.58° N,121.5° W
1197,2012-11-27,10:30p,Indiana Pacers,79,Los Angeles Lakers,77,None,STAPLES Center,2013,34.043° N,118.267° W
1198,2012-11-28,7:00p,San Antonio Spurs,110,Orlando Magic,89,None,Amway Center,2013,28.539° N,81.384° W
1199,2012-11-28,7:00p,Portland Trail Blazers,82,Washington Wizards,84,None,Verizon Center,2013,38.898° N,77.021° W
1200,2012-11-28,7:30p,Charlotte Bobcats,91,Atlanta Hawks,94,None,Philips Arena,2013,33.757° N,84.396° W
1201,2012-11-28,7:30p,Brooklyn Nets,95,Boston Celtics,83,None,TD Garden,2013,42.366° N,71.062° W
1202,2012-11-28,7:30p,Phoenix Suns,77,Detroit Pistons,117,None,The Palace of Auburn Hills,2013,42.341° N,83.055° W
1203,2012-11-28,8:00p,Dallas Mavericks,78,Chicago Bulls,101,None,United Center,2013,41.881° N,87.675° W
1204,2012-11-28,8:00p,Toronto Raptors,82,Memphis Grizzlies,103,None,FedEx Forum,2013,35.156° N,90.052° W
1205,2012-11-28,8:00p,New York Knicks,102,Milwaukee Bucks,88,None,BMO Harris Bradley Center,2013,43.045° N,87.917° W
1206,2012-11-28,8:00p,Utah Jazz,96,New Orleans Hornets,84,None,New Orleans Arena,2013,34.043° N,118.267° W
1207,2012-11-28,8:00p,Houston Rockets,98,Oklahoma City Thunder,120,None,Chesapeake Energy Arena,2013,35.463° N,97.515° W
1208,2012-11-28,10:30p,Minnesota Timberwolves,95,Los Angeles Clippers,101,None,STAPLES Center,2013,34.043° N,118.267° W
1209,2012-11-29,8:00p,San Antonio Spurs,100,Miami Heat,105,None,AmericanAirlines Arena,2013,25.781° N,80.187° W
1210,2012-11-29,10:30p,Denver Nuggets,105,Golden State Warriors,106,None,Oracle Arena,2013,37.75° N,122.203° W
1211,2012-11-30,7:00p,Philadelphia 76ers,104,Charlotte Bobcats,98,None,Time Warner Cable Arena,2013,34.043° N,118.267° W
1212,2012-11-30,7:00p,Brooklyn Nets,98,Orlando Magic,86,None,Amway Center,2013,28.539° N,81.384° W
1213,2012-11-30,7:00p,Phoenix Suns,97,Toronto Raptors,101,None,Air Canada Centre,2013,43.644° N,79.379° W
1214,2012-11-30,7:30p,Cleveland Cavaliers,113,Atlanta Hawks,111,None,Philips Arena,2013,33.757° N,84.396° W
1215,2012-11-30,7:30p,Portland Trail Blazers,78,Boston Celtics,96,None,TD Garden,2013,42.366° N,71.062° W
1216,2012-11-30,7:30p,Washington Wizards,87,New York Knicks,108,None,Madison Square Garden (IV),2013,40.751° N,73.993° W
1217,2012-11-30,8:00p,Detroit Pistons,78,Memphis Grizzlies,90,None,FedEx Forum,2013,35.156° N,90.052° W
1218,2012-11-30,8:00p,Milwaukee Bucks,85,Minnesota Timberwolves,95,None,Target Center,2013,44.98° N,93.276° W
1219,2012-11-30,8:00p,Utah Jazz,94,Oklahoma City Thunder,106,None,Chesapeake Energy Arena,2013,35.463° N,97.515° W
1220,2012-11-30,10:00p,Indiana Pacers,97,Sacramento Kings,92,None,Sleep Train Arena,2013,38.58° N,121.5° W
1221,2012-11-30,10:30p,Denver Nuggets,103,Los Angeles Lakers,122,None,STAPLES Center,2013,34.043° N,118.267° W
1222,2012-12-01,7:30p,Portland Trail Blazers,118,Cleveland Cavaliers,117,2OT,Quicken Loans Arena,2013,41.497° N,81.688° W
1223,2012-12-01,7:30p,Brooklyn Nets,89,Miami Heat,102,None,AmericanAirlines Arena,2013,25.781° N,80.187° W
1224,2012-12-01,8:00p,Philadelphia 76ers,88,Chicago Bulls,93,None,United Center,2013,41.881° N,87.675° W
1225,2012-12-01,8:00p,Utah Jazz,116,Houston Rockets,124,None,Toyota Center,2013,29.751° N,95.362° W
1226,2012-12-01,8:00p,Oklahoma City Thunder,100,New Orleans Hornets,79,None,New Orleans Arena,2013,34.043° N,118.267° W
1227,2012-12-01,8:30p,Boston Celtics,88,Milwaukee Bucks,91,None,BMO Harris Bradley Center,2013,43.045° N,87.917° W
1228,2012-12-01,8:30p,Memphis Grizzlies,95,San Antonio Spurs,99,OT,AT&T Center,2013,29.427° N,98.438° W
1229,2012-12-01,9:00p,Detroit Pistons,77,Dallas Mavericks,92,None,American Airlines Center,2013,32.791° N,96.81° W
1230,2012-12-01,10:30p,Indiana Pacers,92,Golden State Warriors,103,None,Oracle Arena,2013,37.75° N,122.203° W
1231,2012-12-01,10:30p,Sacramento Kings,81,Los Angeles Clippers,116,None,STAPLES Center,2013,34.043° N,118.267° W
1232,2012-12-02,12:00p,Phoenix Suns,99,New York Knicks,106,None,Madison Square Garden (IV),2013,40.751° N,73.993° W
1233,2012-12-02,9:30p,Orlando Magic,113,Los Angeles Lakers,103,None,STAPLES Center,2013,34.043° N,118.267° W
1234,2012-12-03,7:00p,Portland Trail Blazers,118,Charlotte Bobcats,112,OT,Time Warner Cable Arena,2013,34.043° N,118.267° W
1235,2012-12-03,7:30p,Cleveland Cavaliers,79,Detroit Pistons,89,None,The Palace of Auburn Hills,2013,42.341° N,83.055° W
1236,2012-12-03,8:00p,Milwaukee Bucks,81,New Orleans Hornets,102,None,New Orleans Arena,2013,34.043° N,118.267° W
1237,2012-12-03,9:00p,Toronto Raptors,110,Denver Nuggets,113,None,Pepsi Center,2013,39.749° N,105.008° W
1238,2012-12-03,9:00p,Los Angeles Clippers,105,Utah Jazz,104,None,EnergySolutions Arena,2013,40.768° N,111.901° W
1239,2012-12-03,10:30p,Orlando Magic,102,Golden State Warriors,94,None,Oracle Arena,2013,37.75° N,122.203° W
1240,2012-12-04,7:00p,Minnesota Timberwolves,105,Philadelphia 76ers,88,None,Wells Fargo Center,2013,39.901° N,75.172° W
1241,2012-12-04,7:00p,Miami Heat,101,Washington Wizards,105,None,Verizon Center,2013,38.898° N,77.021° W
1242,2012-12-04,7:30p,Oklahoma City Thunder,117,Brooklyn Nets,111,None,Barclays Center,2013,40.683° N,73.975° W
1243,2012-12-04,8:00p,Indiana Pacers,80,Chicago Bulls,76,None,United Center,2013,41.881° N,87.675° W
1244,2012-12-04,8:00p,Los Angeles Lakers,105,Houston Rockets,107,None,Toyota Center,2013,29.751° N,95.362° W
1245,2012-12-04,8:00p,Phoenix Suns,98,Memphis Grizzlies,108,OT,FedEx Forum,2013,35.156° N,90.052° W
1246,2012-12-05,7:00p,New York Knicks,100,Charlotte Bobcats,98,None,Time Warner Cable Arena,2013,34.043° N,118.267° W
1247,2012-12-05,7:00p,Portland Trail Blazers,92,Indiana Pacers,99,None,Bankers Life Fieldhouse,2013,39.764° N,86.156° W
1248,2012-12-05,7:30p,Minnesota Timberwolves,94,Boston Celtics,104,None,TD Garden,2013,42.366° N,71.062° W
1249,2012-12-05,7:30p,Golden State Warriors,104,Detroit Pistons,97,None,The Palace of Auburn Hills,2013,42.341° N,83.055° W
1250,2012-12-05,8:00p,Denver Nuggets,104,Atlanta Hawks,108,None,Philips Arena,2013,33.757° N,84.396° W
1251,2012-12-05,8:00p,Chicago Bulls,95,Cleveland Cavaliers,85,None,Quicken Loans Arena,2013,41.497° N,81.688° W
1252,2012-12-05,8:00p,Los Angeles Lakers,103,New Orleans Hornets,87,None,New Orleans Arena,2013,34.043° N,118.267° W
1253,2012-12-05,8:30p,Milwaukee Bucks,99,San Antonio Spurs,110,None,AT&T Center,2013,29.427° N,98.438° W
1254,2012-12-05,9:00p,Orlando Magic,81,Utah Jazz,87,None,EnergySolutions Arena,2013,40.768° N,111.901° W
1255,2012-12-05,10:00p,Toronto Raptors,100,Sacramento Kings,107,None,Sleep Train Arena,2013,38.58° N,121.5° W
1256,2012-12-05,10:30p,Dallas Mavericks,90,Los Angeles Clippers,112,None,STAPLES Center,2013,34.043° N,118.267° W
1257,2012-12-06,8:00p,New York Knicks,112,Miami Heat,92,None,AmericanAirlines Arena,2013,25.781° N,80.187° W
1258,2012-12-06,10:30p,Dallas Mavericks,97,Phoenix Suns,94,None,US Airways Center,2013,33.446° N,112.071° W
1259,2012-12-07,7:00p,Denver Nuggets,92,Indiana Pacers,89,None,Bankers Life Fieldhouse,2013,39.764° N,86.156° W
1260,2012-12-07,7:00p,Boston Celtics,94,Philadelphia 76ers,95,OT,Wells Fargo Center,2013,39.901° N,75.172° W
1261,2012-12-07,7:30p,Washington Wizards,95,Atlanta Hawks,104,None,Philips Arena,2013,33.757° N,84.396° W
1262,2012-12-07,7:30p,Golden State Warriors,109,Brooklyn Nets,102,None,Barclays Center,2013,40.683° N,73.975° W
1263,2012-12-07,7:30p,Chicago Bulls,108,Detroit Pistons,104,None,The Palace of Auburn Hills,2013,42.341° N,83.055° W
1264,2012-12-07,8:00p,Cleveland Cavaliers,73,Minnesota Timberwolves,91,None,Target Center,2013,44.98° N,93.276° W
1265,2012-12-07,8:00p,Memphis Grizzlies,96,New Orleans Hornets,89,None,New Orleans Arena,2013,34.043° N,118.267° W
1266,2012-12-07,8:30p,Charlotte Bobcats,93,Milwaukee Bucks,108,None,BMO Harris Bradley Center,2013,43.045° N,87.917° W
1267,2012-12-07,8:30p,Houston Rockets,92,San Antonio Spurs,114,None,AT&T Center,2013,29.427° N,98.438° W
1268,2012-12-07,9:00p,Toronto Raptors,99,Utah Jazz,131,None,EnergySolutions Arena,2013,40.768° N,111.901° W
1269,2012-12-07,9:30p,Los Angeles Lakers,108,Oklahoma City Thunder,114,None,Chesapeake Energy Arena,2013,35.463° N,97.515° W
1270,2012-12-07,10:00p,Orlando Magic,82,Sacramento Kings,91,None,Sleep Train Arena,2013,38.58° N,121.5° W
1271,2012-12-08,3:30p,Phoenix Suns,99,Los Angeles Clippers,117,None,STAPLES Center,2013,34.043° N,118.267° W
1272,2012-12-08,7:00p,San Antonio Spurs,132,Charlotte Bobcats,102,None,Time Warner Cable Arena,2013,34.043° N,118.267° W
1273,2012-12-08,7:00p,Golden State Warriors,101,Washington Wizards,97,None,Verizon Center,2013,38.898° N,77.021° W
1274,2012-12-08,7:30p,Philadelphia 76ers,79,Boston Celtics,92,None,TD Garden,2013,42.366° N,71.062° W
1275,2012-12-08,7:30p,Detroit Pistons,104,Cleveland Cavaliers,97,None,Quicken Loans Arena,2013,41.497° N,81.688° W
1276,2012-12-08,7:30p,New Orleans Hornets,90,Miami Heat,106,None,AmericanAirlines Arena,2013,25.781° N,80.187° W
1277,2012-12-08,8:00p,New York Knicks,85,Chicago Bulls,93,None,United Center,2013,41.881° N,87.675° W
1278,2012-12-08,8:00p,Dallas Mavericks,116,Houston Rockets,109,None,Toyota Center,2013,29.751° N,95.362° W
1279,2012-12-08,8:00p,Atlanta Hawks,93,Memphis Grizzlies,83,None,FedEx Forum,2013,35.156° N,90.052° W
1280,2012-12-08,10:00p,Sacramento Kings,99,Portland Trail Blazers,80,None,Rose Garden Arena,2013,45.532° N,122.667° W
1281,2012-12-09,3:30p,Toronto Raptors,83,Los Angeles Clippers,102,None,STAPLES Center,2013,34.043° N,118.267° W
1282,2012-12-09,6:00p,Milwaukee Bucks,97,Brooklyn Nets,88,None,Barclays Center,2013,40.683° N,73.975° W
1283,2012-12-09,7:00p,Indiana Pacers,93,Oklahoma City Thunder,104,None,Chesapeake Energy Arena,2013,35.463° N,97.515° W
1284,2012-12-09,7:30p,Denver Nuggets,106,New York Knicks,112,None,Madison Square Garden (IV),2013,40.751° N,73.993° W
1285,2012-12-09,8:00p,Orlando Magic,98,Phoenix Suns,90,None,US Airways Center,2013,33.446° N,112.071° W
1286,2012-12-09,9:30p,Utah Jazz,117,Los Angeles Lakers,110,None,STAPLES Center,2013,34.043° N,118.267° W
1287,2012-12-10,7:00p,Golden State Warriors,104,Charlotte Bobcats,96,None,Time Warner Cable Arena,2013,34.043° N,118.267° W
1288,2012-12-10,7:00p,Detroit Pistons,97,Philadelphia 76ers,104,None,Wells Fargo Center,2013,39.901° N,75.172° W
1289,2012-12-10,7:30p,Atlanta Hawks,92,Miami Heat,101,None,AmericanAirlines Arena,2013,25.781° N,80.187° W
1290,2012-12-10,8:00p,San Antonio Spurs,134,Houston Rockets,126,OT,Toyota Center,2013,29.751° N,95.362° W
1291,2012-12-10,8:30p,Sacramento Kings,96,Dallas Mavericks,119,None,American Airlines Center,2013,32.791° N,96.81° W
1292,2012-12-10,10:00p,Toronto Raptors,74,Portland Trail Blazers,92,None,Rose Garden Arena,2013,45.532° N,122.667° W
1293,2012-12-11,7:00p,New York Knicks,100,Brooklyn Nets,97,None,Barclays Center,2013,40.683° N,73.975° W
1294,2012-12-11,7:00p,Los Angeles Lakers,94,Cleveland Cavaliers,100,None,Quicken Loans Arena,2013,41.497° N,81.688° W
1295,2012-12-11,7:30p,Denver Nuggets,101,Detroit Pistons,94,None,The Palace of Auburn Hills,2013,42.341° N,83.055° W
1296,2012-12-11,8:00p,Washington Wizards,77,New Orleans Hornets,70,None,New Orleans Arena,2013,34.043° N,118.267° W
1297,2012-12-11,9:30p,Los Angeles Clippers,94,Chicago Bulls,89,None,United Center,2013,41.881° N,87.675° W
1298,2012-12-12,7:00p,Cleveland Cavaliers,81,Indiana Pacers,96,None,Bankers Life Fieldhouse,2013,39.764° N,86.156° W
1299,2012-12-12,7:00p,Atlanta Hawks,86,Orlando Magic,80,None,Amway Center,2013,28.539° N,81.384° W
1300,2012-12-12,7:00p,Brooklyn Nets,94,Toronto Raptors,88,None,Air Canada Centre,2013,43.644° N,79.379° W
1301,2012-12-12,7:30p,Los Angeles Clippers,100,Charlotte Bobcats,94,None,Time Warner Cable Arena,2013,34.043° N,118.267° W
1302,2012-12-12,7:30p,Golden State Warriors,97,Miami Heat,95,None,AmericanAirlines Arena,2013,25.781° N,80.187° W
1303,2012-12-12,7:30p,Chicago Bulls,96,Philadelphia 76ers,89,None,Wells Fargo Center,2013,39.901° N,75.172° W
1304,2012-12-12,8:00p,Dallas Mavericks,115,Boston Celtics,117,2OT,TD Garden,2013,42.366° N,71.062° W
