,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,OT,Arena,Year,Latitude,Longitude
49,2011-12-31,3:30p,Denver Nuggets,89,Los Angeles Lakers,92,None,STAPLES Center,2012,34.043° N,118.267° W
50,2011-12-31,6:00p,Indiana Pacers,88,Detroit Pistons,96,None,The Palace of Auburn Hills,2012,42.341° N,83.055° W
51,2011-12-31,7:00p,Atlanta Hawks,84,Houston Rockets,95,None,Toyota Center,2012,29.751° N,95.362° W
52,2011-12-31,8:00p,Phoenix Suns,97,Oklahoma City Thunder,107,None,Chesapeake Energy Arena,2012,35.463° N,97.515° W
53,2011-12-31,8:00p,New York Knicks,114,Sacramento Kings,92,None,Power Balance Pavilion,2012,38.58° N,121.5° W
54,2011-12-31,8:30p,Utah Jazz,89,San Antonio Spurs,104,None,AT&T Center,2012,29.427° N,98.438° W
55,2011-12-31,9:00p,Philadelphia 76ers,107,Golden State Warriors,79,None,Oracle Arena,2012,37.75° N,122.203° W
56,2012-01-01,6:00p,New Jersey Nets,82,Cleveland Cavaliers,98,None,Quicken Loans Arena,2012,41.497° N,81.688° W
57,2012-01-01,6:00p,Charlotte Bobcats,90,Miami Heat,129,None,AmericanAirlines Arena,2012,25.781° N,80.187° W
58,2012-01-01,6:00p,Toronto Raptors,96,Orlando Magic,102,None,Amway Center,2012,28.539° N,81.384° W
59,2012-01-01,6:00p,Boston Celtics,94,Washington Wizards,86,None,Verizon Center,2012,38.898° N,77.021° W
60,2012-01-01,7:00p,Dallas Mavericks,82,Minnesota Timberwolves,99,None,Target Center,2012,44.98° N,93.276° W
61,2012-01-01,8:00p,Memphis Grizzlies,64,Chicago Bulls,104,None,United Center,2012,41.881° N,87.675° W
62,2012-01-01,8:00p,Los Angeles Lakers,90,Denver Nuggets,99,None,Pepsi Center,2012,39.749° N,105.008° W
63,2012-01-01,9:00p,New Orleans Hornets,80,Sacramento Kings,96,None,Power Balance Pavilion,2012,38.58° N,121.5° W
64,2012-01-01,9:30p,Portland Trail Blazers,88,Los Angeles Clippers,93,None,STAPLES Center,2012,34.043° N,118.267° W
65,2012-01-02,3:30p,Golden State Warriors,91,Phoenix Suns,102,None,US Airways Center,2012,33.446° N,112.071° W
66,2012-01-02,7:30p,Washington Wizards,92,Boston Celtics,100,None,TD Garden,2012,42.366° N,71.062° W
67,2012-01-02,7:30p,Orlando Magic,78,Detroit Pistons,89,None,The Palace of Auburn Hills,2012,42.341° N,83.055° W
68,2012-01-02,7:30p,Atlanta Hawks,100,Miami Heat,92,None,AmericanAirlines Arena,2012,25.781° N,80.187° W
69,2012-01-02,7:30p,Indiana Pacers,108,New Jersey Nets,94,None,Prudential Center,2012,34.043° N,118.267° W
70,2012-01-02,7:30p,Toronto Raptors,90,New York Knicks,85,None,Madison Square Garden (IV),2012,40.751° N,73.993° W
71,2012-01-02,8:00p,San Antonio Spurs,96,Minnesota Timberwolves,106,None,Target Center,2012,44.98° N,93.276° W
72,2012-01-02,8:30p,Oklahoma City Thunder,87,Dallas Mavericks,100,None,American Airlines Center,2012,32.791° N,96.81° W
73,2012-01-02,9:00p,Milwaukee Bucks,86,Denver Nuggets,91,None,Pepsi Center,2012,39.749° N,105.008° W
74,2012-01-02,9:00p,New Orleans Hornets,90,Utah Jazz,94,None,EnergySolutions Arena,2012,40.768° N,111.901° W
75,2012-01-03,7:00p,Charlotte Bobcats,101,Cleveland Cavaliers,115,None,Quicken Loans Arena,2012,41.497° N,81.688° W
76,2012-01-03,8:00p,Atlanta Hawks,74,Chicago Bulls,76,None,United Center,2012,41.881° N,87.675° W
77,2012-01-03,8:00p,Sacramento Kings,96,Memphis Grizzlies,113,None,FedEx Forum,2012,35.156° N,90.052° W
78,2012-01-03,8:00p,Portland Trail Blazers,103,Oklahoma City Thunder,93,None,Chesapeake Energy Arena,2012,35.463° N,97.515° W
79,2012-01-03,9:00p,Milwaukee Bucks,73,Utah Jazz,85,None,EnergySolutions Arena,2012,40.768° N,111.901° W
80,2012-01-03,10:30p,Houston Rockets,99,Los Angeles Lakers,108,None,STAPLES Center,2012,34.043° N,118.267° W
81,2012-01-04,7:00p,Washington Wizards,85,Orlando Magic,103,None,Amway Center,2012,28.539° N,81.384° W
82,2012-01-04,7:00p,Cleveland Cavaliers,77,Toronto Raptors,92,None,Air Canada Centre,2012,43.644° N,79.379° W
83,2012-01-04,7:30p,New Jersey Nets,70,Boston Celtics,89,None,TD Garden,2012,42.366° N,71.062° W
84,2012-01-04,7:30p,Chicago Bulls,99,Detroit Pistons,83,None,The Palace of Auburn Hills,2012,42.341° N,83.055° W
85,2012-01-04,7:30p,Indiana Pacers,83,Miami Heat,118,None,AmericanAirlines Arena,2012,25.781° N,80.187° W
86,2012-01-04,7:30p,Charlotte Bobcats,118,New York Knicks,110,None,Madison Square Garden (IV),2012,40.751° N,73.993° W
87,2012-01-04,8:00p,Memphis Grizzlies,90,Minnesota Timberwolves,86,None,Target Center,2012,44.98° N,93.276° W
88,2012-01-04,8:00p,Philadelphia 76ers,101,New Orleans Hornets,93,None,New Orleans Arena,2012,34.043° N,118.267° W
89,2012-01-04,8:30p,Phoenix Suns,89,Dallas Mavericks,98,None,American Airlines Center,2012,32.791° N,96.81° W
90,2012-01-04,8:30p,Golden State Warriors,95,San Antonio Spurs,101,None,AT&T Center,2012,29.427° N,98.438° W
91,2012-01-04,9:00p,Sacramento Kings,83,Denver Nuggets,110,None,Pepsi Center,2012,39.749° N,105.008° W
92,2012-01-04,10:30p,Houston Rockets,89,Los Angeles Clippers,117,None,STAPLES Center,2012,34.043° N,118.267° W
93,2012-01-05,8:00p,Miami Heat,116,Atlanta Hawks,109,3OT,Philips Arena,2012,33.757° N,84.396° W
94,2012-01-05,8:30p,Dallas Mavericks,71,San Antonio Spurs,93,None,AT&T Center,2012,29.427° N,98.438° W
95,2012-01-05,10:00p,Milwaukee Bucks,100,Sacramento Kings,103,None,Power Balance Pavilion,2012,38.58° N,121.5° W
96,2012-01-05,10:30p,Los Angeles Lakers,96,Portland Trail Blazers,107,None,Rose Garden Arena,2012,45.532° N,122.667° W
97,2012-01-06,7:00p,Atlanta Hawks,102,Charlotte Bobcats,96,OT,Time Warner Cable Arena,2012,34.043° N,118.267° W
98,2012-01-06,7:00p,Detroit Pistons,73,Philadelphia 76ers,96,None,Wells Fargo Center,2012,39.901° N,75.172° W
99,2012-01-06,7:00p,New Jersey Nets,97,Toronto Raptors,85,None,Air Canada Centre,2012,43.644° N,79.379° W
100,2012-01-06,7:00p,New York Knicks,99,Washington Wizards,96,None,Verizon Center,2012,38.898° N,77.021° W
101,2012-01-06,7:30p,Indiana Pacers,87,Boston Celtics,74,None,TD Garden,2012,42.366° N,71.062° W
102,2012-01-06,8:00p,Cleveland Cavaliers,98,Minnesota Timberwolves,87,None,Target Center,2012,44.98° N,93.276° W
103,2012-01-06,8:00p,Denver Nuggets,96,New Orleans Hornets,88,None,New Orleans Arena,2012,34.043° N,118.267° W
104,2012-01-06,8:00p,Houston Rockets,94,Oklahoma City Thunder,109,None,Chesapeake Energy Arena,2012,35.463° N,97.515° W
105,2012-01-06,8:00p,Chicago Bulls,97,Orlando Magic,83,None,Amway Center,2012,28.539° N,81.384° W
106,2012-01-06,9:00p,Memphis Grizzlies,85,Utah Jazz,94,None,EnergySolutions Arena,2012,40.768° N,111.901° W
107,2012-01-06,10:30p,Golden State Warriors,90,Los Angeles Lakers,97,None,STAPLES Center,2012,34.043° N,118.267° W
108,2012-01-06,10:30p,Portland Trail Blazers,77,Phoenix Suns,102,None,US Airways Center,2012,33.446° N,112.071° W
109,2012-01-07,7:00p,Chicago Bulls,94,Atlanta Hawks,109,None,Philips Arena,2012,33.757° N,84.396° W
110,2012-01-07,7:00p,Charlotte Bobcats,77,Indiana Pacers,99,None,Bankers Life Fieldhouse,2012,39.764° N,86.156° W
111,2012-01-07,7:30p,New York Knicks,103,Detroit Pistons,80,None,The Palace of Auburn Hills,2012,42.341° N,83.055° W
112,2012-01-07,7:30p,Miami Heat,101,New Jersey Nets,90,None,Prudential Center,2012,34.043° N,118.267° W
113,2012-01-07,8:00p,Oklahoma City Thunder,98,Houston Rockets,95,None,Toyota Center,2012,29.751° N,95.362° W
114,2012-01-07,8:00p,Toronto Raptors,62,Philadelphia 76ers,97,None,Wells Fargo Center,2012,39.901° N,75.172° W
115,2012-01-07,8:30p,Denver Nuggets,117,San Antonio Spurs,121,None,AT&T Center,2012,29.427° N,98.438° W
116,2012-01-07,9:00p,New Orleans Hornets,81,Dallas Mavericks,96,None,American Airlines Center,2012,32.791° N,96.81° W
117,2012-01-07,10:30p,Utah Jazz,88,Golden State Warriors,87,None,Oracle Arena,2012,37.75° N,122.203° W
118,2012-01-07,10:30p,Milwaukee Bucks,86,Los Angeles Clippers,92,None,STAPLES Center,2012,34.043° N,118.267° W
119,2012-01-08,1:00p,Minnesota Timberwolves,93,Washington Wizards,72,None,Verizon Center,2012,38.898° N,77.021° W
120,2012-01-08,6:00p,Orlando Magic,104,Sacramento Kings,97,None,Power Balance Pavilion,2012,38.58° N,121.5° W
121,2012-01-08,7:00p,San Antonio Spurs,96,Oklahoma City Thunder,108,None,Chesapeake Energy Arena,2012,35.463° N,97.515° W
122,2012-01-08,8:00p,Milwaukee Bucks,93,Phoenix Suns,109,None,US Airways Center,2012,33.446° N,112.071° W
123,2012-01-08,9:00p,Cleveland Cavaliers,78,Portland Trail Blazers,98,None,Rose Garden Arena,2012,45.532° N,122.667° W
124,2012-01-08,9:30p,Memphis Grizzlies,82,Los Angeles Lakers,90,None,STAPLES Center,2012,34.043° N,118.267° W
125,2012-01-09,7:00p,Indiana Pacers,86,Philadelphia 76ers,96,None,Wells Fargo Center,2012,39.901° N,75.172° W
126,2012-01-09,7:00p,Minnesota Timberwolves,87,Toronto Raptors,97,None,Air Canada Centre,2012,43.644° N,79.379° W
127,2012-01-09,7:30p,Atlanta Hawks,106,New Jersey Nets,101,None,Prudential Center,2012,34.043° N,118.267° W
128,2012-01-09,7:30p,Charlotte Bobcats,87,New York Knicks,91,None,Madison Square Garden (IV),2012,40.751° N,73.993° W
129,2012-01-09,8:00p,Detroit Pistons,68,Chicago Bulls,92,None,United Center,2012,41.881° N,87.675° W
130,2012-01-09,9:00p,New Orleans Hornets,94,Denver Nuggets,81,None,Pepsi Center,2012,39.749° N,105.008° W
131,2012-01-10,7:00p,Houston Rockets,82,Charlotte Bobcats,70,None,Time Warner Cable Arena,2012,34.043° N,118.267° W
132,2012-01-10,7:00p,Sacramento Kings,85,Philadelphia 76ers,112,None,Wells Fargo Center,2012,39.901° N,75.172° W
133,2012-01-10,7:00p,Toronto Raptors,78,Washington Wizards,93,None,Verizon Center,2012,38.898° N,77.021° W
134,2012-01-10,7:30p,Dallas Mavericks,100,Detroit Pistons,86,None,The Palace of Auburn Hills,2012,42.341° N,83.055° W
135,2012-01-10,8:00p,Oklahoma City Thunder,100,Memphis Grizzlies,95,None,FedEx Forum,2012,35.156° N,90.052° W
136,2012-01-10,8:00p,San Antonio Spurs,103,Milwaukee Bucks,106,None,Bradley Center,2012,43.045° N,87.917° W
137,2012-01-10,8:00p,Chicago Bulls,111,Minnesota Timberwolves,100,None,Target Center,2012,44.98° N,93.276° W
138,2012-01-10,9:00p,Cleveland Cavaliers,105,Utah Jazz,113,None,EnergySolutions Arena,2012,40.768° N,111.901° W
139,2012-01-10,10:00p,Los Angeles Clippers,97,Portland Trail Blazers,105,None,Rose Garden Arena,2012,45.532° N,122.667° W
140,2012-01-10,10:30p,Miami Heat,106,Golden State Warriors,111,OT,Oracle Arena,2012,37.75° N,122.203° W
141,2012-01-10,10:30p,Phoenix Suns,83,Los Angeles Lakers,99,None,STAPLES Center,2012,34.043° N,118.267° W
142,2012-01-11,7:00p,Atlanta Hawks,84,Indiana Pacers,96,None,Bankers Life Fieldhouse,2012,39.764° N,86.156° W
143,2012-01-11,7:00p,Sacramento Kings,98,Toronto Raptors,91,None,Air Canada Centre,2012,43.644° N,79.379° W
144,2012-01-11,7:30p,Philadelphia 76ers,79,New York Knicks,85,None,Madison Square Garden (IV),2012,40.751° N,73.993° W
145,2012-01-11,8:00p,Dallas Mavericks,90,Boston Celtics,85,None,TD Garden,2012,42.366° N,71.062° W
146,2012-01-11,8:00p,Washington Wizards,64,Chicago Bulls,78,None,United Center,2012,41.881° N,87.675° W
147,2012-01-11,8:00p,Oklahoma City Thunder,95,New Orleans Hornets,85,None,New Orleans Arena,2012,34.043° N,118.267° W
148,2012-01-11,8:30p,Houston Rockets,95,San Antonio Spurs,101,OT,AT&T Center,2012,29.427° N,98.438° W
149,2012-01-11,9:00p,New Jersey Nets,115,Denver Nuggets,123,None,Pepsi Center,2012,39.749° N,105.008° W
150,2012-01-11,9:00p,Los Angeles Lakers,90,Utah Jazz,87,OT,EnergySolutions Arena,2012,40.768° N,111.901° W
151,2012-01-11,10:00p,Orlando Magic,107,Portland Trail Blazers,104,None,Rose Garden Arena,2012,45.532° N,122.667° W
152,2012-01-11,10:30p,Miami Heat,89,Los Angeles Clippers,95,OT,STAPLES Center,2012,34.043° N,118.267° W
153,2012-01-12,7:30p,Charlotte Bobcats,81,Atlanta Hawks,111,None,Philips Arena,2012,33.757° N,84.396° W
154,2012-01-12,8:00p,New York Knicks,83,Memphis Grizzlies,94,None,FedEx Forum,2012,35.156° N,90.052° W
155,2012-01-12,8:00p,Detroit Pistons,93,Milwaukee Bucks,102,None,Bradley Center,2012,43.045° N,87.917° W
156,2012-01-12,9:00p,Cleveland Cavaliers,101,Phoenix Suns,90,None,US Airways Center,2012,33.446° N,112.071° W
157,2012-01-12,10:30p,Orlando Magic,117,Golden State Warriors,109,None,Oracle Arena,2012,37.75° N,122.203° W
158,2012-01-13,7:00p,Detroit Pistons,98,Charlotte Bobcats,81,None,Time Warner Cable Arena,2012,34.043° N,118.267° W
159,2012-01-13,7:00p,Washington Wizards,89,Philadelphia 76ers,120,None,Wells Fargo Center,2012,39.901° N,75.172° W
